Crop,Year,Sow_Month,Vegetative_Dur,Reproductive_Dur,Maturity_Dur,Temp_C,Rainfall_mm,Humidity_%,SoilMoist_%,Vegetative_Irrig_lphw,Reproductive_Irrig_lphw,Maturity_Irrig_lphw
Chickpea,2011,November,27,44,17,22.56,234.0,67.6,21.2,3.4,2.31,2.64
Groundnut,2024,June,33,66,21,29.81,507.1,71.8,25.9,5.44,3.99,2.59
Sorghum,2019,June,42,34,16,30.65,403.1,70.9,19.4,3.84,3.2,3.18
Cotton,2015,June,50,49,26,31.51,617.9,66.9,9.8,7.3,5.65,5.64
Maize,2012,June,24,46,22,27.24,534.0,69.4,31.9,3.47,4.11,3.04
Cotton,2011,June,56,63,23,31.8,800.1,72.7,27.3,5.88,5.49,3.86
Chickpea,2023,November,31,40,12,20.33,90.1,53.4,26.1,4.24,1.94,2.0
Cotton,2015,June,36,70,23,31.22,434.1,64.6,15.2,6.14,4.82,4.41
Chickpea,2015,October,23,41,16,20.51,275.1,61.9,14.6,2.61,2.85,1.75
Maize,2008,July,22,37,22,24.0,507.5,69.9,19.4,3.85,6.02,2.16
Cotton,2012,July,47,64,31,28.33,612.6,71.5,23.2,6.1,6.89,3.03
Soybean,2007,July,17,47,17,25.39,477.0,75.9,23.7,3.25,4.68,3.35
Soybean,2006,July,34,45,15,25.41,293.9,73.4,26.5,4.32,4.81,2.15
Chickpea,2016,November,25,37,18,23.29,100.4,73.1,17.1,2.4,1.93,2.02
Maize,2010,July,24,46,14,25.93,461.3,69.6,16.4,5.43,4.82,2.55
Soybean,2006,June,26,53,18,25.63,274.6,67.6,24.7,3.97,4.03,3.21
Maize,2005,June,22,34,20,21.63,345.8,79.2,18.4,5.92,4.28,1.91
Sorghum,2016,June,42,50,22,30.53,403.5,84.3,31.3,4.62,3.58,3.1
Groundnut,2016,June,22,71,25,31.93,523.4,72.2,17.6,5.93,3.69,3.09
Paddy,2021,July,32,50,21,28.03,641.1,73.9,39.3,6.85,7.86,4.14
Sorghum,2014,June,43,49,19,29.18,551.5,58.2,25.8,4.2,3.05,2.76
Sorghum,2020,July,30,55,25,26.61,594.2,73.3,34.4,3.82,2.7,2.5
Soybean,2019,July,31,36,10,30.75,583.0,74.1,10.4,4.06,4.22,1.78
Soybean,2019,July,31,51,18,26.64,563.8,74.7,23.1,4.34,3.95,3.48
Cotton,2023,August,55,64,33,30.99,694.3,60.3,30.2,5.12,4.97,5.23
Soybean,2016,July,26,56,13,29.25,275.0,79.1,27.3,4.58,3.64,2.7
Chickpea,2024,November,22,38,26,23.69,239.9,59.7,21.9,2.53,1.96,2.05
Sorghum,2007,June,38,35,15,26.71,323.4,64.5,15.6,4.33,2.74,2.82
Groundnut,2009,June,35,61,19,27.02,537.5,70.5,22.0,3.66,4.75,3.22
Soybean,2023,June,22,54,12,27.73,541.3,70.9,28.8,3.52,5.01,2.84
Cotton,2011,July,44,48,39,27.26,605.4,68.8,14.6,6.18,5.35,3.63
Chickpea,2013,November,20,42,21,21.91,164.9,55.2,19.5,3.5,3.14,1.56
Paddy,2011,June,23,39,16,26.42,1098.8,82.8,35.6,7.38,8.14,5.16
Soybean,2022,July,28,47,12,26.72,459.5,68.2,28.1,4.87,3.98,2.9
Paddy,2008,June,48,55,30,24.97,972.2,76.2,43.1,9.92,9.28,5.37
Groundnut,2018,June,30,58,16,29.26,620.0,71.2,17.5,4.51,3.03,3.71
Groundnut,2022,June,26,48,22,28.98,462.2,78.1,18.2,3.24,5.17,2.7
Groundnut,2013,June,26,49,20,28.45,628.7,82.2,17.6,4.36,3.68,3.46
Soybean,2006,July,29,41,20,30.79,731.5,72.3,27.9,4.75,3.95,2.27
Soybean,2024,June,36,51,14,26.91,495.5,79.4,25.8,4.19,3.51,2.26
Chickpea,2019,November,18,33,23,24.25,249.0,53.0,16.6,2.27,3.09,1.77
Sorghum,2011,July,26,47,24,30.57,642.7,68.7,23.7,2.95,4.35,2.52
Paddy,2016,August,31,51,24,29.28,669.2,67.1,22.7,9.23,5.36,5.49
Sorghum,2012,June,43,44,12,25.37,589.4,69.8,23.2,3.79,3.94,2.29
Soybean,2019,June,32,43,18,25.9,522.2,76.5,24.9,4.98,4.2,1.98
Maize,2007,July,23,33,24,28.17,772.7,75.0,19.8,3.98,3.6,2.6
Cotton,2018,July,47,62,34,28.81,500.6,59.3,18.3,6.9,4.15,4.2
Groundnut,2021,June,29,50,10,31.73,576.9,87.3,26.4,6.41,2.7,2.14
Chickpea,2008,November,16,40,18,22.52,295.6,61.1,10.5,4.23,2.0,1.58
Paddy,2022,August,36,48,30,25.52,928.7,77.5,22.9,8.07,5.69,5.6
Maize,2012,June,28,33,17,29.29,233.9,65.9,16.3,5.01,3.66,3.38
Chickpea,2008,November,24,32,20,21.2,188.8,67.2,24.1,3.06,2.14,1.8
Chickpea,2006,November,23,43,19,22.11,252.8,60.8,24.0,2.9,2.81,2.58
Paddy,2010,August,49,56,31,25.92,637.7,66.5,38.9,8.08,5.75,7.19
Cotton,2014,July,43,65,29,26.76,490.6,74.9,15.5,5.19,5.68,4.11
Soybean,2008,June,34,53,11,30.8,401.8,77.4,28.6,4.42,3.23,2.21
Cotton,2022,August,52,89,24,28.92,506.8,69.3,21.4,5.3,4.75,4.07
Cotton,2016,June,42,60,30,24.65,713.1,70.9,14.7,7.8,4.69,3.77
Chickpea,2006,November,22,29,15,20.78,201.7,65.3,21.3,2.26,2.84,1.85
Chickpea,2014,October,21,53,14,19.9,325.1,70.0,13.9,3.36,3.23,1.99
Chickpea,2008,November,17,48,23,20.58,280.7,66.3,15.7,3.72,2.28,2.54
Soybean,2018,July,26,47,19,26.76,645.0,61.5,33.1,4.55,4.55,2.61
Maize,2020,July,24,47,16,25.39,278.4,62.5,32.6,5.42,2.9,3.72
Cotton,2019,August,45,41,24,27.6,480.6,71.3,19.2,5.44,5.39,5.38
Chickpea,2012,October,25,47,16,25.34,153.9,61.0,12.2,3.16,2.82,2.31
Groundnut,2018,June,22,57,22,30.23,435.0,61.5,24.5,5.07,4.32,3.14
Sorghum,2012,June,29,67,11,26.75,510.8,74.9,27.9,6.05,3.52,2.28
Soybean,2020,June,35,49,17,23.0,484.6,75.1,24.7,5.52,3.08,2.8
Soybean,2017,July,24,39,10,25.29,158.0,75.3,32.3,4.62,2.81,2.18
Maize,2022,July,15,35,23,28.09,560.4,74.3,29.7,4.1,3.04,3.22
Paddy,2019,July,34,49,24,24.28,616.8,84.5,18.7,9.06,5.11,6.57
Chickpea,2017,November,20,47,20,20.96,218.2,69.6,19.8,2.54,1.71,1.84
Soybean,2013,June,22,37,16,24.57,633.5,71.6,22.4,4.28,4.34,2.89
Sorghum,2019,June,39,62,17,27.97,345.9,80.8,12.1,5.55,3.67,3.05
Maize,2017,June,26,45,21,28.36,571.2,68.2,25.6,3.23,3.69,2.7
Maize,2005,July,22,55,18,24.34,486.5,68.9,21.4,6.49,3.1,3.02
Soybean,2011,July,37,43,7,28.22,326.7,74.7,24.1,3.75,4.58,2.9
